near_group_id,image_id,rel_path,label,class_name,phash,exact_group_id,split
phash_001165,76045e145f4333be,PCOS/noninfected/Image_859.jpg,0,noninfected,977f47a70ac05817,md5_9f438e71ef0d03e30ae9e893314e7022,
phash_001165,ee8395a0039f7b15,PCOS/noninfected/Image_860.jpg,0,noninfected,977f47a70ac05817,md5_9f438e71ef0d03e30ae9e893314e7022,
phash_001165,9f194db4724be9a7,PCOS/noninfected/Image_SetA859.jpg,0,noninfected,977f47a70ac05817,md5_9f438e71ef0d03e30ae9e893314e7022,
phash_001165,40ad5daabaee3465,PCOS/noninfected/Image_SetA860.jpg,0,noninfected,977f47a70ac05817,md5_9f438e71ef0d03e30ae9e893314e7022,
phash_001165,fd2eb991a8e8d323,PCOS/noninfected/Image_SetB859.jpg,0,noninfected,977f47a70ac05817,md5_9f438e71ef0d03e30ae9e893314e7022,
phash_001165,430211f558cccbc9,PCOS/noninfected/Image_SetB860.jpg,0,noninfected,977f47a70ac05817,md5_9f438e71ef0d03e30ae9e893314e7022,
phash_001165,a70f172f809fece2,PCOS/noninfected/Image_resize_671  (695).jpg,0,noninfected,977f47a70ac05817,md5_9f438e71ef0d03e30ae9e893314e7022,
phash_001165,ba52bbca496b0ba4,PCOS/noninfected/Image_resize_671  (696).jpg,0,noninfected,977f47a70ac05817,md5_9f438e71ef0d03e30ae9e893314e7022,
phash_001165,67a4e4e3aa9e8bc6,PCOS/infected/image10438.jpg,1,infected,933b43b52fd07c03,md5_fe96bf61666422cf773b9cc81b098490,
phash_001165,0a25b596b127283a,PCOS/infected/image10451.jpg,1,infected,967f47a70ac07817,md5_40be48c861dfa4162cabc1626416e9ae,
phash_001165,8c87da53a4ae35f8,PCOS/infected/image10467.jpg,1,infected,937f572f02f01e81,md5_56e60cb2331c2d6fedd2b3948e07d94a,
phash_001165,6bbc0fef96932d21,PCOS/infected/image10472.jpg,1,infected,8d7e0eef5e80700d,md5_f902b116da143279ccff3820b0970169,
phash_001165,c2e70c49f5930c75,PCOS/infected/image10480.jpg,1,infected,827f57a72fc06816,md5_aaf4b83eb0f80fc323b2cadd1c2f5f38,
phash_001165,1f79a5b3833ed456,PCOS/infected/image10481.jpg,1,infected,937b57b72f806806,md5_df8ce318938c75667057a5a2f4435257,
phash_001165,2c68726e1351f1ec,PCOS/infected/image10482.jpg,1,infected,967b47a73e856814,md5_e355dad154bec28d0e90fc474c0d906f,
phash_001165,5e4f5c786ce8e471,PCOS/infected/image10498.jpg,1,infected,937f47a52bc07816,md5_de680d029bf22b10ff19ab65cf5caffb,
phash_001165,cffbab8bc5f09495,PCOS/infected/image10512.jpg,1,infected,977f47a70a807817,md5_dd0b7152cf250a74fa06d1a9b2d1ce9c,
phash_001165,2fdd687852fe76a9,PCOS/infected/image10516.jpg,1,infected,8d7e0caf5e81701d,md5_b159216eaa471259efb2b2a82e5b69c6,
phash_001165,ea462948b5e5df6b,PCOS/infected/image10519.jpg,1,infected,927a57b72f826056,md5_54135d163493c151697a4aaea42fc76b,
phash_001165,33b9bbb6720389fc,PCOS/infected/image10532.jpg,1,infected,b37f572f40780e21,md5_a144bf6bce98b61021fe4fe62dc2594b,
phash_001165,a2a5eb9eb88fead4,PCOS/infected/image10534.jpg,1,infected,933b43b52bd07d03,md5_b601e54860be3bdd5a536ccecd801cee,
phash_001165,7fc31915e876400f,PCOS/infected/image10547.jpg,1,infected,857e0eaf7e81701c,md5_a5d2fee4269b57d603083cdf65cb6a79,
phash_001165,a0b2accfbf4c7bdb,PCOS/infected/image10548.jpg,1,infected,b37f572f40780e81,md5_8563e613be075f15acc6d597a1e3b99c,
phash_001165,d9e6473b3f9604d0,PCOS/infected/image10549.jpg,1,infected,937f572f40d01f81,md5_81775254a5f683dcbc9a869cb0054c50,
phash_001165,dfe86a80a57cc484,PCOS/infected/image10551.jpg,1,infected,92785ed52f87603a,md5_25ec98a12f3def98217ea8a93aecdd46,
phash_001165,6ceb1b6c9bc9c93b,PCOS/infected/image10566.jpg,1,infected,967f57a72b806816,md5_8d8efcc641f51790b5d2f03a850ff48a,
phash_001165,33b43a94793a2f21,PCOS/infected/image10570.jpg,1,infected,d33b41b12bd26f82,md5_fc43a471b8e1b2ee7058e27ee7567b27,
phash_001165,ffa94fc181848705,PCOS/infected/image10587.jpg,1,infected,937b47b52bd07c02,md5_13a99d79abe7f761db9019a010192c81,
phash_001165,c2fd8b36a88970ac,PCOS/infected/image10604.jpg,1,infected,967f47a77e816804,md5_afc45d05f1a22382aa0e946344f602ab,
phash_001165,40c0c64bb04e494e,PCOS/infected/image10618.jpg,1,infected,977f47a70f807805,md5_74779a8aaa25c55c28d67ea82809fa8e,
phash_001165,3d8b8759e46a491b,PCOS/infected/image10634.jpg,1,infected,937b57a72fc06806,md5_26b0c2d3d03d2f4b32aedc57852bd170,
phash_001165,421129104760f54b,PCOS/infected/image10640.jpg,1,infected,967f47a72f807814,md5_32913bccc5d005bafd52c91c9dc46bc7,
phash_001165,f8d40b2fcaf18326,PCOS/infected/image10660.jpg,1,infected,927f57a72f806816,md5_1b2dd160e3b47961b16d816d24f10bca,
phash_001165,e8006c1b641bf26a,PCOS/infected/image10669.jpg,1,infected,927f57a72f806816,md5_9547f7d00b4dea50e10936577458b50a,
phash_001165,3547d94c97c4f7c3,PCOS/infected/image10675.jpg,1,infected,927b57a72f846816,md5_e0ecfa0d517ef5c0b06ad5e5f7cb77c2,
phash_001165,d0664e82aeaa3fda,PCOS/infected/image10680.jpg,1,infected,857e0eef5e81701c,md5_b9ad5e8a0179e6b34d5d219d7c24ac0f,
phash_001165,10c540baeb88ad98,PCOS/infected/image10685.jpg,1,infected,92785e952f87613a,md5_0ab5e9734a6b84564c7641abff9641d4,
