image_id,rel_path,filename,class_name,label,suffix,bytes,readable,width,height,mode,md5,phash,error,exact_group_id,split
5c3f58b00671ac83,PCOS/infected/Image_001.jpg,Image_001.jpg,infected,1,.jpg,15190,True,343,343,RGB,c2a489cab0a3836f75536cada50435d1,ad56d604ad8e46b5,,md5_c2a489cab0a3836f75536cada50435d1,test
a59370ecf964f25e,PCOS/infected/Image_002.jpg,Image_002.jpg,infected,1,.jpg,15190,True,343,343,RGB,c2a489cab0a3836f75536cada50435d1,ad56d604ad8e46b5,,md5_c2a489cab0a3836f75536cada50435d1,test
13a6c1bf424249ff,PCOS/infected/Image_003.jpg,Image_003.jpg,infected,1,.jpg,9863,True,225,225,RGB,d90ab028384f8b88bde61f84b3fa9c9c,d2b66c595368591b,,md5_d90ab028384f8b88bde61f84b3fa9c9c,train
29a81b7179045ee2,PCOS/infected/Image_004.jpg,Image_004.jpg,infected,1,.jpg,9863,True,225,225,RGB,d90ab028384f8b88bde61f84b3fa9c9c,d2b66c595368591b,,md5_d90ab028384f8b88bde61f84b3fa9c9c,train
6d956ea6d897840c,PCOS/infected/Image_005.jpg,Image_005.jpg,infected,1,.jpg,12548,True,299,266,RGB,89cf47a653a720f13b084ca778c62088,fe5c959495394866,,md5_89cf47a653a720f13b084ca778c62088,train
86261fc6c6755b5f,PCOS/infected/Image_006.jpg,Image_006.jpg,infected,1,.jpg,12548,True,299,266,RGB,89cf47a653a720f13b084ca778c62088,fe5c959495394866,,md5_89cf47a653a720f13b084ca778c62088,train
89811ce722de8da3,PCOS/infected/Image_007.jpg,Image_007.jpg,infected,1,.jpg,14582,True,300,300,RGB,9598ee96d649e2951fba39b41de979de,94b44ad3c7c8b6a6,,md5_9598ee96d649e2951fba39b41de979de,val
35f5053397c22fb7,PCOS/infected/Image_008.jpg,Image_008.jpg,infected,1,.jpg,14582,True,300,300,RGB,9598ee96d649e2951fba39b41de979de,94b44ad3c7c8b6a6,,md5_9598ee96d649e2951fba39b41de979de,val
77c3dc3cb93b5ea5,PCOS/infected/Image_009.jpg,Image_009.jpg,infected,1,.jpg,9429,True,225,225,RGB,528f8d4e97a71d3f498b5da120f68c1a,d4b626499872ef4c,,md5_528f8d4e97a71d3f498b5da120f68c1a,val
d524f0a7bae3a3f3,PCOS/infected/Image_010.jpg,Image_010.jpg,infected,1,.jpg,9429,True,225,225,RGB,528f8d4e97a71d3f498b5da120f68c1a,d4b626499872ef4c,,md5_528f8d4e97a71d3f498b5da120f68c1a,val
2b374cca8c46589c,PCOS/infected/Image_011.jpg,Image_011.jpg,infected,1,.jpg,12168,True,299,266,RGB,3e06ae48a60ab1678b2f18eba02dff69,b9488517db909ccf,,md5_3e06ae48a60ab1678b2f18eba02dff69,train
