exact_group_id,md5,class_name,label,group_size,representative_rel_path,total_bytes
md5_001d5843f4b1e9621a8328475a7fa7e8,001d5843f4b1e9621a8328475a7fa7e8,noninfected,0,8,PCOS/noninfected/Image_765.jpg,625304
md5_006a9044740c442987caad5db27044b3,006a9044740c442987caad5db27044b3,noninfected,0,8,PCOS/noninfected/Image_635.jpg,80080
md5_00c512566d210a729622e287d356aa27,00c512566d210a729622e287d356aa27,noninfected,0,8,PCOS/noninfected/Image_497.jpg,581032
md5_01d8645dc88a0ad9ca7509f060274446,01d8645dc88a0ad9ca7509f060274446,noninfected,0,8,PCOS/noninfected/Image_649.jpg,264192
md5_03458fadfde6f389046926b75f521ea2,03458fadfde6f389046926b75f521ea2,noninfected,0,8,PCOS/noninfected/Image_543.jpg,425208
md5_0394310b529909874cae90f4452a40b1,0394310b529909874cae90f4452a40b1,noninfected,0,8,PCOS/noninfected/Image_499.jpg,605144
md5_054282eb5061b3a779dcb4160021c8a6,054282eb5061b3a779dcb4160021c8a6,noninfected,0,8,PCOS/noninfected/Image_resize_418.jpg,442608
md5_0563168b94386ff9ce12bdcc7e96a090,0563168b94386ff9ce12bdcc7e96a090,noninfected,0,8,PCOS/noninfected/Image_693.jpg,622752
md5_05f261f02bacc8999b2dc6c47cb53705,05f261f02bacc8999b2dc6c47cb53705,noninfected,0,8,PCOS/noninfected/Image_837.jpg,661680
md5_064c35cd897f162f8cc08a7d4d27b76e,064c35cd897f162f8cc08a7d4d27b76e,noninfected,0,8,PCOS/noninfected/Image_535.jpg,635720
md5_06723a3408cefd3ef375ade955b0f9dc,06723a3408cefd3ef375ade955b0f9dc,noninfected,0,8,PCOS/noninfected/Image_465.jpg,74784
md5_0714d1da60a2ee5d4431271021f8d6cb,0714d1da60a2ee5d4431271021f8d6cb,noninfected,0,8,PCOS/noninfected/Image_resize_378.jpg,629400
md5_075922a210d5b13297e812fa8473dc84,075922a210d5b13297e812fa8473dc84,noninfected,0,8,PCOS/noninfected/Image_697.jpg,589056
md5_07b4220b1d37718476e5fdc595fec455,07b4220b1d37718476e5fdc595fec455,noninfected,0,8,PCOS/noninfected/Image_677.jpg,82192
md5_086bbfce13b08f251589caf11a9863bc,086bbfce13b08f251589caf11a9863bc,noninfected,0,8,PCOS/noninfected/Image_965.jpg,461120
md5_08793962bc582e78b17cb9f9f900cdd1,08793962bc582e78b17cb9f9f900cdd1,noninfected,0,8,PCOS/noninfected/Image_709.jpg,680176
md5_090a1ee30e06df08bd531abc9ac304ba,090a1ee30e06df08bd531abc9ac304ba,noninfected,0,8,PCOS/noninfected/Image_737.jpg,81896
md5_093d93cc0b0dd5ace3a919ea3d18255c,093d93cc0b0dd5ace3a919ea3d18255c,noninfected,0,8,PCOS/noninfected/Image_485.jpg,253648
md5_099d4d87c7a9b19c5eb83c6ee352ad66,099d4d87c7a9b19c5eb83c6ee352ad66,noninfected,0,8,PCOS/noninfected/Image_613.jpg,676368
md5_09a0704ce5797b250df2b98b18248735,09a0704ce5797b250df2b98b18248735,noninfected,0,8,PCOS/noninfected/Image_479.jpg,273176
md5_09b9bb1bde94cc5c77a69c4d692ecd35,09b9bb1bde94cc5c77a69c4d692ecd35,noninfected,0,8,PCOS/noninfected/Image_591.jpg,650024
md5_0a1c303b00e406f814168bada44d4495,0a1c303b00e406f814168bada44d4495,noninfected,0,8,PCOS/noninfected/Image_533.jpg,73608
md5_0a9353b5431aa7110611bb2c07d93ee8,0a9353b5431aa7110611bb2c07d93ee8,noninfected,0,8,PCOS/noninfected/Image_453.jpg,259608
md5_0cfc52c00757f5831e0b49df200c428f,0cfc52c00757f5831e0b49df200c428f,noninfected,0,8,PCOS/noninfected/Image_771.jpg,269472
md5_0d3f706d438973c117e27bf87ce89aa8,0d3f706d438973c117e27bf87ce89aa8,noninfected,0,8,PCOS/noninfected/Image_939.jpg,601408
md5_0df9733f50aca785b958bd529c4a706a,0df9733f50aca785b958bd529c4a706a,noninfected,0,8,PCOS/noninfected/Image_451.jpg,467088
md5_0f055be769970dae7ddb37be363d1aea,0f055be769970dae7ddb37be363d1aea,noninfected,0,8,PCOS/noninfected/Image_resize_306.jpg,683152
md5_0f7f9bea66af9bdef8a34df507636900,0f7f9bea66af9bdef8a34df507636900,noninfected,0,8,PCOS/noninfected/Image_865.jpg,443248
md5_11406e465cd826a410c1d5edc8e08c78,11406e465cd826a410c1d5edc8e08c78,noninfected,0,8,PCOS/noninfected/Image_757.jpg,638752
md5_122409e282edb41fc31804d31e6a1e9f,122409e282edb41fc31804d31e6a1e9f,noninfected,0,8,PCOS/noninfected/Image_resize_066.jpg,90088
md5_13b5b358474900f00982f4092fb2ef42,13b5b358474900f00982f4092fb2ef42,noninfected,0,8,PCOS/noninfected/Image_655.jpg,74872
md5_1425c87ee12aa3b758035bd7f2a68784,1425c87ee12aa3b758035bd7f2a68784,noninfected,0,8,PCOS/noninfected/Image_979.jpg,600128
md5_1488ad0734592317cd2af306a91aa79e,1488ad0734592317cd2af306a91aa79e,noninfected,0,8,PCOS/noninfected/Image_resize_042.jpg,459440
md5_15ee7429146fd66f4e2c7718a7d57c44,15ee7429146fd66f4e2c7718a7d57c44,noninfected,0,8,PCOS/noninfected/Image_875.jpg,638528
md5_16aeef176aaba5959ad9dd55f4f52276,16aeef176aaba5959ad9dd55f4f52276,noninfected,0,8,PCOS/noninfected/Image_463.jpg,266832
md5_18091651f7e339000343980a4a3d5de2,18091651f7e339000343980a4a3d5de2,noninfected,0,8,PCOS/noninfected/Image_651.jpg,668480
md5_1834ba6ab6cde4eb5e888df41fdac071,1834ba6ab6cde4eb5e888df41fdac071,noninfected,0,8,PCOS/noninfected/Image_resize_170.jpg,421696
md5_186b652cc8da88e0704e06b9626277b2,186b652cc8da88e0704e06b9626277b2,noninfected,0,8,PCOS/noninfected/Image_435.jpg,277800
md5_18f9e06b2a1afbe78f2ea90a7a1214ac,18f9e06b2a1afbe78f2ea90a7a1214ac,noninfected,0,8,PCOS/noninfected/Image_resize_058.jpg,396232
md5_1ad9abfa872c443ae3de6cba7439c018,1ad9abfa872c443ae3de6cba7439c018,noninfected,0,8,PCOS/noninfected/Image_887.jpg,488648
