image_id,rel_path,class_name,label,exact_group_id,phash,near_group_id,group_size,classes,labels,representative_rel_path,split
5c3f58b00671ac83,PCOS/infected/Image_001.jpg,infected,1,md5_c2a489cab0a3836f75536cada50435d1,ad56d604ad8e46b5,phash_000000,6,infected,1,PCOS/infected/Image_001.jpg,test
a59370ecf964f25e,PCOS/infected/Image_002.jpg,infected,1,md5_c2a489cab0a3836f75536cada50435d1,ad56d604ad8e46b5,phash_000000,6,infected,1,PCOS/infected/Image_001.jpg,test
13a6c1bf424249ff,PCOS/infected/Image_003.jpg,infected,1,md5_d90ab028384f8b88bde61f84b3fa9c9c,d2b66c595368591b,phash_000001,6,infected,1,PCOS/infected/Image_003.jpg,train
29a81b7179045ee2,PCOS/infected/Image_004.jpg,infected,1,md5_d90ab028384f8b88bde61f84b3fa9c9c,d2b66c595368591b,phash_000001,6,infected,1,PCOS/infected/Image_003.jpg,train
6d956ea6d897840c,PCOS/infected/Image_005.jpg,infected,1,md5_89cf47a653a720f13b084ca778c62088,fe5c959495394866,phash_000002,6,infected,1,PCOS/infected/Image_005.jpg,train
86261fc6c6755b5f,PCOS/infected/Image_006.jpg,infected,1,md5_89cf47a653a720f13b084ca778c62088,fe5c959495394866,phash_000002,6,infected,1,PCOS/infected/Image_005.jpg,train
89811ce722de8da3,PCOS/infected/Image_007.jpg,infected,1,md5_9598ee96d649e2951fba39b41de979de,94b44ad3c7c8b6a6,phash_000003,6,infected,1,PCOS/infected/Image_007.jpg,test
35f5053397c22fb7,PCOS/infected/Image_008.jpg,infected,1,md5_9598ee96d649e2951fba39b41de979de,94b44ad3c7c8b6a6,phash_000003,6,infected,1,PCOS/infected/Image_007.jpg,test
77c3dc3cb93b5ea5,PCOS/infected/Image_009.jpg,infected,1,md5_528f8d4e97a71d3f498b5da120f68c1a,d4b626499872ef4c,phash_000004,6,infected,1,PCOS/infected/Image_009.jpg,val
d524f0a7bae3a3f3,PCOS/infected/Image_010.jpg,infected,1,md5_528f8d4e97a71d3f498b5da120f68c1a,d4b626499872ef4c,phash_000004,6,infected,1,PCOS/infected/Image_009.jpg,val
2b374cca8c46589c,PCOS/infected/Image_011.jpg,infected,1,md5_3e06ae48a60ab1678b2f18eba02dff69,b9488517db909ccf,phash_000005,6,infected,1,PCOS/infected/Image_011.jpg,test
1cb15f88caeb951a,PCOS/infected/Image_012.jpg,infected,1,md5_3e06ae48a60ab1678b2f18eba02dff69,b9488517db909ccf,phash_000005,6,infected,1,PCOS/infected/Image_011.jpg,test
ba7bbbedc404fd6b,PCOS/infected/Image_013.jpg,infected,1,md5_ea87301db53fb44cf5b5cead35b9ef4e,95352858b747c95b,phash_000006,6,infected,1,PCOS/infected/Image_013.jpg,train
330458fe84e6f0e6,PCOS/infected/Image_014.jpg,infected,1,md5_ea87301db53fb44cf5b5cead35b9ef4e,95352858b747c95b,phash_000006,6,infected,1,PCOS/infected/Image_013.jpg,train
fda1ea54bbea6496,PCOS/infected/Image_015.jpg,infected,1,md5_eb72599b5d242dae12b38b0af012617a,8021fb56b44b9bbc,phash_000007,6,infected,1,PCOS/infected/Image_015.jpg,test
e7ecd37136438c14,PCOS/infected/Image_016.jpg,infected,1,md5_eb72599b5d242dae12b38b0af012617a,8021fb56b44b9bbc,phash_000007,6,infected,1,PCOS/infected/Image_015.jpg,test
62e74e0323da32a3,PCOS/infected/Image_017.jpg,infected,1,md5_c5c36d462bb0002fe48776ad67da063b,80671ee67ad4653a,phash_001350,19,infected,1,PCOS/infected/Image_017.jpg,train
6be8c98595a971db,PCOS/infected/Image_018.jpg,infected,1,md5_c5c36d462bb0002fe48776ad67da063b,80671ee67ad4653a,phash_001350,19,infected,1,PCOS/infected/Image_017.jpg,train
c1eedd1d1238605a,PCOS/infected/Image_019.jpg,infected,1,md5_2f08011a62680ad0456d41aeec1042c0,80a15bdbb3359c8d,phash_000008,6,infected,1,PCOS/infected/Image_019.jpg,train
